No,Nama Tempat,Kategori,Koordinat,Latitude,Longitude,Alamat,Deskripsi
1,Anai Resort (Malimbu Anai),Hotel,S0 29 57.2 E100 20 04.9,-0.499222,100.334694,"Kandang Ampek, Lembah Anai.",Informasi tidak ada
2,Bambu Hotel,Hotel,S0 14 06.0 E100 38 26.5,-0.235000,100.640694,Jl. M. Yamin no. 23 Labuah Basilang.,Informasi tidak ada
3,Lembah Echo Hotel,Hotel,S0 06 23.0 E100 39 54.1,-0.106389,100.665028,"Desa Lubuk Limpato, Nagari Tarantang, Kecamatan Harau, Kabupaten Limapuluh Kota.",Informasi tidak ada
4,Hotel Pasir Panjang,Hotel,S0 17 28.7 E100 13 38.0,-0.291306,100.227222,"Jl. Raya Maninjau - Bukittinggi, Maninjau, Sumatra Barat.",Informasi tidak ada
5,Pantai Arta,Pantai,S0 30 30.7 E100 02 49.2,-0.508528,100.046999,"Jl. Pariaman Siku, Sungai Limau.",Informasi tidak ada
6,Pantai Gandoriah,Pantai,S0 37 38.0 E100 06 59.3,-0.627222,100.116472,Kota Pariaman.,Informasi tidak ada
7,Pantai Kata,Pantai,S0 38 46.5 E100 07 57.3,-0.646250,100.132583,"Nagari Taluak, Kecamatan Lintau Buo, Kota Pariaman.",Informasi tidak ada
8,Pantai Pasir Jambak,Pantai,S0 50 58.4 E100 19 34.0,-0.849556,100.326111,"Nagari Pasir Jambak, Kec Koto Tangah, Kota Padang.",Informasi tidak ada
9,Situs Haji Miskin,Situs Purbakala,S0 24 02.5 E100 23 51.5,-0.400694,100.397639,"Nagari Pandai Sikek, Kec Sepuluh Koto, Kabupaten Tanah Datar.",Informasi tidak ada
10,Benteng Fort de Kock,Benda Cagar Budaya,S0 18 02.7 E100 22 03.7,-0.300750,100.367694,Jl. Pemuda.,Informasi tidak ada
11,Istana Bung Hatta,Benda Cagar Budaya,S0 18 21.7 E100 22 08.0,-0.306028,100.368889,Jl. H. Agus Salim.,Informasi tidak ada
12,Jam Gadang,Benda Cagar Budaya,S0 18 19.2 E100 22 09.9,-0.305333,100.369417,Jl. Pasar Atas.,Informasi tidak ada
13,Rumah Kelahiran Bung Hatta,Benda Cagar Budaya,S0 18 03.5 E100 22 23.2,-0.300972,100.373111,Jl. Soekarno Hatta no. 37.,Informasi tidak ada
14,Stasiun Pariaman,Benda Cagar Budaya,S0 37 36.1 E100 07 00.3,-0.626694,100.116750,"Jl. Diponegoro, Kampung Pondok I, Pariaman Tengah.",Informasi tidak ada
15,Makam Syekh Burhanuddin,Benda Cagar Budaya,S0 41 53.2 E100 11 01.3,-0.698111,100.183694,"Nagari Ulakan, Kec Ulakan Tapakis, Kabupaten Padang Pariaman.",Informasi tidak ada
16,Rumah Puisi Taufiq Ismail,Objek Khusus,S0 24 48.7 E100 24 21.9,-0.413528,100.406083,Jl. Raya Padang Panjang - Bukittinggi.,Informasi tidak ada
17,Pusat Kerajinan Pandai Sikek,Objek Khusus,S0 23 41.9 E100 24 14.2,-0.394972,100.403944,Jl. Raya Padang Panjang - Bukittinggi.,Informasi tidak ada
18,Silver Work Koto Gadang,Objek Khusus,S0 18 55.0 E100 21 20.7,-0.315278,100.355750,"Nagari Koto Gadang, Kec IV Koto Agam, Kabupaten Agam.",Informasi tidak ada
